CPU Temperature,CPU Utilization,Disk Storage,Memory Usage,Fault
59.35,76.69,82.46,83.17,No
59.9,76.1,82.64,83.17,No
41.02,75.76,83.54,76.84,No
23.65,78.29,82.48,83.38,No
32.22,83.03,78.24,82.48,No
23.56,77.65,82.5,75.29,No
23.82,75.35,84.73,75.82,No
31.99,82.77,77.16,79.58,No
30.81,80.96,84.01,75.13,No
58.67,82.63,75.95,78.45,No
43.48,77.38,78.87,79.04,No
60.37,76.92,82,85.75,Yes
58.37,81.05,77.27,81.31,No
58.83,77.35,78.82,81.73,No
55.7,83.09,80.61,75.11,No
66.54,76.09,79.12,85.19,Yes
79.99,77.38,76.63,84.52,Yes
26.55,85.75,79.32,79.04,Yes
23.76,80.2,85.96,78.07,Yes
37.15,85.11,80.4,85.54,Yes
25.94,83.59,83.11,80.97,No
79.17,81.1,77.22,84.16,Yes
57.61,82.56,79.54,77.21,No
22.09,76.6,85.27,79.45,Yes
27.74,77.37,76.49,76.07,No
29.16,77.57,79.01,79.14,No
48.87,75.57,81.59,82.62,No
33.16,77.65,81.16,75.12,No
29.95,77.3,78.52,77.43,No
80.68,82.06,84.56,79.08,Yes
35.78,85.32,83.29,80.48,Yes
63.95,81.64,84.54,80.1,Yes
61.78,84.6,82.73,79.93,Yes
58.53,77.29,84.85,80.29,No
23.07,82.42,82.49,82.34,No
60.49,82.05,85.69,81.35,Yes
39.97,82.41,76.42,81.48,No
66.95,85.77,76.25,84.62,Yes
80.5,77.97,82.33,75.74,Yes
55.93,79.93,78.87,82.07,No
48.51,75.93,83.35,79.89,No
46.97,78.11,85.81,84.19,Yes
79.39,76.36,80.37,79.67,Yes
73.06,81.35,84.15,79.79,Yes
27.64,80.08,78.53,78.38,No
31.63,83.07,81.18,78.18,No
73.67,77.1,75.46,79.51,Yes
68.89,79.54,78.66,79.21,Yes
61.61,82.06,77.78,83.19,Yes
31.57,76.02,78.46,83.14,No
26.31,78.19,79.37,84.72,No
35.82,83.48,83.74,81.53,No
58.29,76.89,77.02,81.82,No
39.95,76.95,80.26,79.38,No
31.04,82.43,78.01,83.16,No
46.07,76.15,84.07,83.48,No
27.4,75.3,79.58,81.36,No
28.84,79.2,76.17,75.16,No
78.02,80.94,84.46,82.31,Yes
54.8,85.5,78.8,77.44,Yes
76.22,79.09,82.94,84.6,Yes
76.36,76.55,79.85,84.84,Yes
59.88,83.84,77.34,80.78,No
46.34,80.35,78.56,85.49,Yes
79.03,76.65,82.09,78.87,Yes
46.78,76.25,77.07,81.87,No
75.98,82.2,84.51,83.86,Yes
72.84,84.87,77.1,84.33,Yes
51.76,82.13,75.35,84.87,No
72.42,78.42,76.28,85.83,Yes
50.78,80.94,85.95,80.54,Yes
41.41,83.82,78.29,83.19,No
76.59,81.79,82.14,77.48,Yes
51.02,84.16,78.76,81.13,No
66.39,85.15,85.55,76.23,Yes
37.67,85.7,79.56,83.7,Yes
67.79,82.82,80.89,83.95,Yes
55.37,82.22,76.77,80.92,No
44.09,77.59,85.44,85.79,Yes
58.67,80.45,80.53,84.88,No
30.89,84.53,76.84,85.73,Yes
68.36,78.04,84.78,85.43,Yes
39.89,83.9,83.74,77.37,No
62.7,75.14,83.25,84.33,Yes
36.21,84.93,75.11,82.79,No
49.92,82.6,77.33,83.41,No
25.58,78.03,79.19,81.67,No
61.05,81.35,78.87,81.2,Yes
59.15,84.33,85.34,84.15,Yes
61.45,77.55,80.78,80.02,Yes
39.92,85.33,77.27,76.11,Yes
38.64,81.5,81.07,75.43,No
22.85,80.35,75.55,85.03,Yes
51.16,83.28,83.75,79.72,No
69.33,81.85,81.17,78.35,Yes
38.73,78.89,79.72,79.69,No
73.53,81.91,78.67,80.17,Yes
62.79,82.15,79.5,84.78,Yes
55.2,80.39,84.18,80.69,No
54.88,80.39,84.18,80.69,No
55,80.39,84.18,80.69,No
55.22,80.39,84.18,80.69,No
55.44,80.39,84.18,80.69,No
55.66,80.39,84.18,80.69,No
55.88,80.39,84.18,80.69,No
56,80.39,84.18,80.69,No
56.22,80.39,84.18,80.69,No
56.44,80.39,84.18,80.69,No
56.66,80.39,84.18,80.69,No
56.88,80.39,84.18,80.69,No
57,80.39,84.18,80.69,No
57.22,80.39,84.18,80.69,No
57.44,80.39,84.18,80.69,No
57.66,80.39,84.18,80.69,No
57.88,80.39,84.18,80.69,No
58,80.39,84.18,80.69,No
58.22,80.39,84.18,80.69,No
58.44,80.39,84.18,80.69,No
58.66,80.39,84.18,80.69,No
58.88,80.39,84.18,80.69,No
59.22,80.39,84.18,80.69,No
59.44,80.39,84.18,80.69,No
59.66,80.39,84.18,80.69,No
59.88,80.39,84.18,80.69,No
60,80.39,84.18,80.69,Yes
60.22,80.39,84.18,80.69,Yes
60.44,80.39,84.18,80.69,Yes
60.66,80.39,84.18,80.69,Yes
60.88,80.39,84.18,80.69,Yes
61,80.39,84.18,80.69,Yes
61.22,80.39,84.18,80.69,Yes
61.44,80.39,84.18,80.69,Yes
61.66,80.39,84.18,80.69,Yes
61.88,80.39,84.18,80.69,Yes
62,80.39,84.18,80.69,Yes
62.22,80.39,84.18,80.69,Yes
62.44,80.39,84.18,80.69,Yes
62.66,80.39,84.18,80.69,Yes
62.88,80.39,84.18,80.69,Yes
63,80.39,84.18,80.69,Yes
63.22,80.39,84.18,80.69,Yes
63.44,80.39,84.18,80.69,Yes
63.66,80.39,84.18,80.69,Yes
63.88,80.39,84.18,80.69,Yes
64,80.39,84.18,80.69,Yes
64.22,80.39,84.18,80.69,Yes
64.44,80.39,84.18,80.69,Yes
64.66,80.39,84.18,80.69,Yes
64.88,80.39,84.18,80.69,Yes
26.45,82.46,76.61,81.27,No
34.14,81.09,55.22,75.76,No
53.8,85.55,79.7,76.67,Yes
67.59,81.27,85.88,76.51,Yes
58.53,85.93,82.66,75.52,Yes
51.47,75.77,82.59,78.99,No
42.75,78.64,78.8,84.41,No
72.81,80.76,78.67,76.14,Yes
26.21,78.22,76.14,77.32,No
42.78,85.08,81.72,76.45,Yes
79.65,78.43,82.27,85.66,Yes
22.62,78.54,82.28,81.42,No
45.93,82.77,82.84,84.58,No
30.33,76.36,84.72,75.96,No
64.01,84.37,78.18,82.51,Yes
24.51,85.24,75.44,77.42,Yes
37.69,85.21,79.89,75.63,Yes
44.21,80.75,84.74,82.33,No
48.89,82.64,82.42,82.09,No
72.59,79.05,83.43,82.73,Yes
70.57,85.7,82.17,76.92,Yes
61.03,81.18,85.41,84.78,Yes
33.81,83.63,76.3,80.98,No
77.77,77.41,81.64,76.19,Yes
37.55,78.77,75.52,76.52,No
54.29,81.6,80.73,82.98,No
30.59,78,81.96,77.17,No
57.86,75.86,82.65,79.41,No
31.49,83.85,80.59,76.24,No
32.82,83.51,82.33,76.52,No
21.97,78.68,75.76,82.6,No
49.19,80.21,75.07,85.23,Yes
53.57,79.64,75.32,79.43,No
36.66,79.22,81.96,75.04,No
22.07,84.43,78.89,84.03,No
78.35,81.32,83,79.22,Yes
49.49,84.49,75.62,84.63,No
42.23,78.67,75.14,85.94,Yes
